Reference, MFP,QTY
MK1,,1
R1,PR01000103000JR500,1
R3,PR01000102201JR500,1
C1,MAL202128108E3,1
R4,PTF561K0000BZEK,1
U1,TL074CN,1
R11,67YR50KLF,1
U2,TL074CN,1
C3,K222J15C0GF53L2,1
C4,1C10Z5U104M050B,1
C6,C315C472K5R5TA,1
C8,K102J15C0GF53H5,1
D3,1N4148,1
D2,1N4148,1
C2,MAL203038228E3,1
D1,1N4148,1
R6,67YR10KLFTB,1
R8,67YR1KLF,1
C9,MAL202128339E3,1
C5,1C10Z5U104M050B,1
C7,C315C472K5R5TA,1
R2,PTF561K0000BZEK,1
R10,PTF561K0000BZEK,1
R24,PTF561K0000BZEK,1
R21,PTF561K0000BZEK,1
R18,PTF561K0000BZEK,1
R13,PTF561K0000BZEK,1
R12,PTF561K0000BZEK,1
R9,PTF561K0000BZEK,1
R5,PR01000102002JR500,1
R25,PR01000102002JR500,1
R15,MRS25000C6041FRP00,1
R17,SFR25H0008252FR500,1
R20,PR01000101503JR500,1
R23,CMF554K0000BHEB,1
R16,RN55D5692FB14,1
R14,SFR25H0001501FR500,1
R7,CMF5510K000BEEB,1
R19,SFR25H0008252FR500,1
R22,SFR25H0008252FR500,1
C10,MAL202128339E3,1
J1,,1
J5,,1
J3,,1
J2,,1
U3,,1
U4,MIC2937A-5.0WT,1
J9,,1
J8,,1
J7,,1
P1,,1
P2,,1
